order_id,customer_id,discount_applied,order_total,order_date,sale_period,item_id,discount_amount,cart_id,cart_status,discount_viewed,store_id,page_type,time_spent,cart_modification_timestamp,loyalty_program_enrolled,wishlist_status,purchase_date,return_status,discount_offer_timestamp,discount_use_timestamp,purchase_timestamp,search_query
12,24,True,349.29,2024-07-01 18:56:05.564736,False,147,33.95,12,completed,False,1,discount,349.92,2024-07-02 07:56:05.564736,False,added,2024-07-08 18:56:05.564736,True,,,2024-07-08 22:56:05.564736,headphones
13,36,True,142.01,2023-12-15 18:56:05.564745,False,186,37.87,13,completed,False,8,discount,91.7,2023-12-16 17:56:05.564745,False,removed,2023-12-20 18:56:05.564745,True,,,2023-12-20 20:56:05.564745,headphones
14,40,True,129.62,2023-10-25 18:56:05.564754,False,96,39.79,14,abandoned,False,17,non-discount,440.53,2023-10-26 13:56:05.564754,False,added,,False,,,,camera
15,24,False,92.46,2023-10-16 18:56:05.564763,True,1,0.0,15,abandoned,False,3,discount,252.76,2023-10-17 13:56:05.564763,False,removed,,False,,,,shoes
16,3,True,117.19,2024-04-22 18:56:05.564773,True,69,5.47,16,abandoned,False,15,discount,373.32,2024-04-23 11:56:05.564773,False,removed,,False,,,,camera
17,22,False,283.47,2023-10-18 18:56:05.564782,False,4,0.0,17,abandoned,False,15,discount,290.84,2023-10-19 07:56:05.564782,True,added,,False,,,,shoes
18,2,True,207.88,2023-09-15 18:56:05.564791,False,16,3.82,18,completed,False,14,discount,498.87,2023-09-16 10:56:05.564791,False,added,2023-09-22 18:56:05.564791,False,,,2023-09-23 08:56:05.564791,headphones
19,24,False,41.8,2023-09-28 18:56:05.564801,True,24,0.0,19,abandoned,False,14,non-discount,378.68,2023-09-29 02:56:05.564801,False,removed,,False,,,,laptop
20,44,True,134.42,2024-03-03 18:56:05.564810,False,80,22.63,20,completed,True,2,non-discount,356.42,2024-03-04 13:56:05.564810,False,removed,2024-03-12 18:56:05.564810,False,2024-03-07 18:56:05.564810,2024-03-16 18:56:05.564810,2024-03-13 07:56:05.564810,watch
21,30,True,130.97,2024-07-24 18:56:05.564820,False,2,44.5,21,abandoned,True,13,non-discount,391.5,2024-07-25 12:56:05.564820,True,removed,,False,2024-07-29 18:56:05.564820,2024-08-01 18:56:05.564820,,headphones
22,38,False,351.19,2024-06-23 18:56:05.564829,False,128,0.0,22,completed,True,14,non-discount,80.13,2024-06-23 19:56:05.564829,False,added,2024-06-26 18:56:05.564829,True,2024-06-28 18:56:05.564829,2024-07-07 18:56:05.564829,2024-06-27 06:56:05.564829,headphones
23,2,False,359.01,2024-01-18 18:56:05.564838,True,160,0.0,23,completed,True,19,discount,110.23,2024-01-19 08:56:05.564838,True,removed,2024-01-26 18:56:05.564838,False,2024-01-24 18:56:05.564838,2024-01-26 18:56:05.564838,2024-01-27 01:56:05.564838,phone
24,21,False,82.56,2024-06-09 18:56:05.564847,True,84,0.0,24,abandoned,False,7,discount,359.89,2024-06-10 13:56:05.564847,False,added,,False,,,,phone
25,33,True,498.89,2024-07-11 18:56:05.564856,True,152,38.31,25,abandoned,False,3,non-discount,252.05,2024-07-12 09:56:05.564856,False,removed,,False,,,,phone
26,12,False,140.72,2024-02-07 18:56:05.564865,False,140,0.0,26,abandoned,True,15,non-discount,379.77,2024-02-08 12:56:05.564865,True,removed,,False,2024-02-14 18:56:05.564865,2024-02-23 18:56:05.564865,,watch
27,22,True,488.54,2023-12-21 18:56:05.564874,False,178,5.96,27,abandoned,False,14,non-discount,60.43,2023-12-21 20:56:05.564874,False,added,,False,,,,phone
28,44,True,211.41,2024-02-21 18:56:05.564883,False,163,5.12,28,completed,True,11,discount,272.88,2024-02-22 16:56:05.564883,True,removed,2024-02-23 18:56:05.564883,True,2024-02-29 18:56:05.564883,2024-03-08 18:56:05.564883,2024-02-23 20:56:05.564883,shoes
29,25,False,26.19,2024-06-12 18:56:05.564891,True,124,0.0,29,abandoned,False,15,non-discount,195.62,2024-06-13 11:56:05.564891,True,added,,False,,,,camera
30,49,False,179.08,2024-07-22 18:56:05.564901,False,33,0.0,30,abandoned,True,13,non-discount,233.93,2024-07-23 12:56:05.564901,False,added,,False,2024-07-30 18:56:05.564901,2024-08-08 18:56:05.564901,,laptop
31,27,True,320.83,2024-04-20 18:56:05.564910,False,161,41.27,31,completed,False,18,non-discount,305.94,2024-04-21 00:56:05.564910,True,removed,2024-04-27 18:56:05.564910,True,,,2024-04-28 07:56:05.564910,headphones
32,42,True,343.55,2023-12-08 18:56:05.564919,False,189,35.61,32,abandoned,False,6,discount,256.12,2023-12-09 13:56:05.564919,False,added,,False,,,,shoes
33,28,False,270.16,2024-06-21 18:56:05.564928,False,179,0.0,33,abandoned,True,3,discount,274.53,2024-06-21 22:56:05.564928,False,added,,False,2024-06-23 18:56:05.564928,2024-06-28 18:56:05.564928,,laptop
34,16,False,229.41,2023-10-22 18:56:05.564937,True,171,0.0,34,abandoned,False,19,discount,248.32,2023-10-22 19:56:05.564937,True,removed,,False,,,,shoes
35,15,False,280.92,2023-08-14 18:56:05.564947,True,101,0.0,35,abandoned,True,15,discount,210.39,2023-08-15 02:56:05.564947,True,added,,False,2023-08-23 18:56:05.564947,2023-08-25 18:56:05.564947,,shoes
36,47,True,300.42,2023-09-30 18:56:05.564956,False,12,19.34,36,abandoned,True,5,discount,388.22,2023-10-01 17:56:05.564956,True,added,,False,2023-10-07 18:56:05.564956,2023-10-15 18:56:05.564956,,headphones
37,44,True,49.62,2024-01-29 18:56:05.564965,True,67,19.16,37,completed,True,10,discount,15.98,2024-01-30 01:56:05.564965,True,added,2024-01-31 18:56:05.564965,False,2024-02-02 18:56:05.564965,2024-02-08 18:56:05.564965,2024-02-01 08:56:05.564965,camera
38,3,True,191.13,2024-04-24 18:56:05.564974,True,65,40.83,38,abandoned,True,7,discount,303.24,2024-04-24 21:56:05.564974,False,removed,,False,2024-04-28 18:56:05.564974,2024-05-06 18:56:05.564974,,phone
39,37,True,128.66,2024-04-20 18:56:05.564983,False,161,47.42,39,abandoned,False,17,discount,287.1,2024-04-21 04:56:05.564983,False,added,,False,,,,watch
40,7,True,403.54,2024-01-22 18:56:05.564992,False,168,49.31,40,abandoned,False,7,non-discount,360.93,2024-01-23 04:56:05.564992,True,removed,,False,,,,camera
41,21,True,240.45,2024-04-03 18:56:05.565001,True,74,37.92,41,abandoned,False,12,non-discount,303.52,2024-04-04 13:56:05.565001,False,removed,,False,,,,watch
42,9,False,491.88,2024-01-19 18:56:05.565010,False,43,0.0,42,abandoned,True,17,discount,415.13,2024-01-20 08:56:05.565010,False,added,,False,2024-01-27 18:56:05.565010,2024-02-01 18:56:05.565010,,headphones
43,39,True,205.42,2023-11-18 18:56:05.565019,True,44,5.09,43,completed,False,13,discount,479.95,2023-11-18 20:56:05.565019,False,added,2023-11-22 18:56:05.565019,True,,,2023-11-23 11:56:05.565019,headphones
44,18,True,410.05,2024-02-18 18:56:05.565028,False,29,39.08,44,abandoned,True,4,non-discount,177.84,2024-02-18 19:56:05.565028,False,added,,False,2024-02-22 18:56:05.565028,2024-02-24 18:56:05.565028,,headphones
45,4,True,401.19,2023-11-15 18:56:05.565037,True,141,28.36,45,completed,False,10,discount,121.4,2023-11-16 17:56:05.565037,True,removed,2023-11-22 18:56:05.565037,False,,,2023-11-23 03:56:05.565037,laptop
46,25,False,83.85,2023-09-09 18:56:05.565046,False,12,0.0,46,completed,False,3,discount,217.56,2023-09-10 17:56:05.565046,True,added,2023-09-12 18:56:05.565046,True,,,2023-09-13 11:56:05.565046,watch
47,14,True,259.02,2024-03-22 18:56:05.565055,True,95,45.41,47,abandoned,False,9,discount,151.09,2024-03-23 12:56:05.565055,False,added,,False,,,,camera
48,9,True,350.95,2024-07-10 18:56:05.565064,True,46,6.45,48,abandoned,True,13,non-discount,311.33,2024-07-11 01:56:05.565064,True,added,,False,2024-07-16 18:56:05.565064,2024-07-22 18:56:05.565064,,camera
49,26,False,430.6,2023-10-21 18:56:05.565072,True,130,0.0,49,abandoned,False,18,non-discount,456.81,2023-10-22 02:56:05.565072,True,added,,False,,,,shoes
50,2,True,169.72,2023-12-18 18:56:05.565080,False,35,1.56,50,abandoned,False,15,non-discount,78.17,2023-12-18 19:56:05.565080,True,added,,False,,,,shoes
51,20,True,117.92,2024-06-04 18:56:05.565089,True,81,23.96,51,completed,True,4,non-discount,59.39,2024-06-05 17:56:05.565089,False,removed,2024-06-06 18:56:05.565089,False,2024-06-09 18:56:05.565089,2024-06-14 18:56:05.565089,2024-06-07 02:56:05.565089,shoes
52,28,True,358.46,2024-05-31 18:56:05.565098,True,90,3.76,52,abandoned,False,15,non-discount,135.45,2024-05-31 21:56:05.565098,False,removed,,False,,,,headphones
53,47,True,406.66,2023-09-09 18:56:05.565106,False,8,6.82,53,abandoned,True,2,discount,365.79,2023-09-10 17:56:05.565106,False,added,,False,2023-09-12 18:56:05.565106,2023-09-17 18:56:05.565106,,camera
54,7,True,180.85,2023-08-03 18:56:05.565116,False,93,6.76,54,abandoned,False,15,non-discount,300.55,2023-08-04 02:56:05.565116,True,added,,False,,,,watch
55,44,False,57.13,2024-02-05 18:56:05.565126,True,154,0.0,55,abandoned,True,8,discount,60.08,2024-02-06 16:56:05.565126,False,added,,False,2024-02-07 18:56:05.565126,2024-02-08 18:56:05.565126,,headphones
56,8,False,470.86,2023-10-22 18:56:05.565135,True,90,0.0,56,abandoned,True,8,discount,460.19,2023-10-23 09:56:05.565135,False,added,,False,2023-10-31 18:56:05.565135,2023-11-02 18:56:05.565135,,laptop
57,47,False,204.81,2024-04-05 18:56:05.565144,False,162,0.0,57,abandoned,False,17,non-discount,397.14,2024-04-05 23:56:05.565144,True,removed,,False,,,,shoes
58,35,True,263.7,2023-10-14 18:56:05.565154,False,115,48.15,58,completed,True,12,non-discount,21.28,2023-10-14 21:56:05.565154,False,added,2023-10-21 18:56:05.565154,False,2023-10-23 18:56:05.565154,2023-10-31 18:56:05.565154,2023-10-21 20:56:05.565154,headphones
59,14,True,420.48,2023-08-21 18:56:05.565163,False,105,19.37,59,completed,True,19,discount,329.17,2023-08-22 13:56:05.565163,False,removed,2023-08-22 18:56:05.565163,False,2023-08-22 18:56:05.565163,2023-08-25 18:56:05.565163,2023-08-23 07:56:05.565163,headphones
60,17,True,341.09,2024-02-28 18:56:05.565173,False,135,15.0,60,abandoned,True,10,discount,387.91,2024-02-28 19:56:05.565173,True,removed,,False,2024-03-02 18:56:05.565173,2024-03-05 18:56:05.565173,,laptop
61,36,False,370.26,2024-03-23 18:56:05.565182,False,196,0.0,61,abandoned,True,9,discount,193.47,2024-03-24 09:56:05.565182,True,added,,False,2024-03-31 18:56:05.565182,2024-04-08 18:56:05.565182,,phone
62,40,True,112.45,2024-02-24 18:56:05.565192,True,58,11.96,62,abandoned,True,5,non-discount,43.77,2024-02-25 02:56:05.565192,True,removed,,False,2024-03-01 18:56:05.565192,2024-03-09 18:56:05.565192,,camera
63,4,True,275.31,2023-10-29 18:56:05.565201,False,114,48.2,63,completed,True,6,non-discount,47.89,2023-10-29 20:56:05.565201,False,removed,2023-11-06 18:56:05.565201,True,2023-11-03 18:56:05.565201,2023-11-05 18:56:05.565201,2023-11-06 21:56:05.565201,watch
64,2,False,350.93,2024-04-15 18:56:05.565211,True,75,0.0,64,abandoned,False,2,non-discount,61.08,2024-04-15 21:56:05.565211,False,removed,,False,,,,phone
65,6,True,121.99,2023-10-03 18:56:05.565221,True,157,48.52,65,completed,True,13,non-discount,421.82,2023-10-04 08:56:05.565221,False,removed,2023-10-06 18:56:05.565221,True,2023-10-08 18:56:05.565221,2023-10-16 18:56:05.565221,2023-10-07 10:56:05.565221,shoes
66,42,False,95.73,2023-11-25 18:56:05.565231,True,120,0.0,66,abandoned,True,6,non-discount,456.24,2023-11-26 08:56:05.565231,True,added,,False,2023-12-01 18:56:05.565231,2023-12-02 18:56:05.565231,,headphones
67,4,False,491.26,2024-02-03 18:56:05.565241,False,164,0.0,67,abandoned,False,5,discount,70.18,2024-02-04 05:56:05.565241,True,added,,False,,,,laptop
68,29,False,263.15,2024-06-19 18:56:05.565250,True,21,0.0,68,abandoned,False,1,non-discount,125.59,2024-06-20 10:56:05.565250,False,removed,,False,,,,laptop
69,18,True,137.81,2024-02-09 18:56:05.565260,True,164,49.66,69,abandoned,False,6,discount,91.11,2024-02-09 22:56:05.565260,False,added,,False,,,,camera
70,26,True,498.16,2023-11-24 18:56:05.565269,False,138,4.62,70,completed,False,6,discount,101.3,2023-11-25 14:56:05.565269,True,added,2023-11-26 18:56:05.565269,False,,,2023-11-27 00:56:05.565269,phone
71,44,True,483.06,2024-07-02 18:56:05.565279,True,101,28.14,71,completed,False,16,discount,420.37,2024-07-02 23:56:05.565279,True,added,2024-07-05 18:56:05.565279,False,,,2024-07-06 13:56:05.565279,camera
72,34,True,283.56,2023-08-08 18:56:05.565288,True,152,48.5,72,abandoned,False,4,non-discount,172.75,2023-08-09 16:56:05.565288,True,added,,False,,,,headphones
73,10,True,442.49,2023-09-26 18:56:05.565297,False,192,26.63,73,abandoned,False,11,non-discount,162.61,2023-09-27 15:56:05.565297,True,added,,False,,,,camera
74,36,True,102.47,2024-07-15 18:56:05.565306,True,177,31.84,74,completed,True,9,non-discount,121.42,2024-07-16 08:56:05.565306,False,removed,2024-07-20 18:56:05.565306,True,2024-07-22 18:56:05.565306,2024-07-28 18:56:05.565306,2024-07-21 01:56:05.565306,watch
75,14,True,146.65,2023-09-16 18:56:05.565315,True,99,35.09,75,completed,True,3,discount,307.87,2023-09-17 17:56:05.565315,True,added,2023-09-24 18:56:05.565315,True,2023-09-17 18:56:05.565315,2023-09-25 18:56:05.565315,2023-09-25 04:56:05.565315,laptop
76,31,False,353.18,2023-09-19 18:56:05.565324,True,36,0.0,76,completed,False,19,discount,195.86,2023-09-20 10:56:05.565324,False,added,2023-09-26 18:56:05.565324,True,,,2023-09-27 03:56:05.565324,laptop
77,48,True,424.86,2024-06-22 18:56:05.565333,False,96,31.75,77,completed,True,8,discount,374.68,2024-06-23 12:56:05.565333,False,added,2024-06-29 18:56:05.565333,False,2024-07-01 18:56:05.565333,2024-07-04 18:56:05.565333,2024-06-29 20:56:05.565333,shoes
78,15,False,429.6,2024-02-06 18:56:05.565344,False,152,0.0,78,abandoned,True,5,discount,110.73,2024-02-07 01:56:05.565344,False,added,,False,2024-02-09 18:56:05.565344,2024-02-17 18:56:05.565344,,shoes
79,8,True,208.21,2024-07-08 18:56:05.565353,False,151,45.16,79,completed,True,4,discount,396.02,2024-07-09 04:56:05.565353,True,removed,2024-07-15 18:56:05.565353,True,2024-07-12 18:56:05.565353,2024-07-13 18:56:05.565353,2024-07-16 09:56:05.565353,headphones
80,14,True,445.01,2023-09-11 18:56:05.565362,True,190,3.23,80,abandoned,False,6,discount,305.82,2023-09-12 01:56:05.565362,True,removed,,False,,,,watch
81,23,True,426.95,2023-11-07 18:56:05.565371,True,37,14.77,81,completed,False,2,non-discount,65.99,2023-11-07 19:56:05.565371,True,removed,2023-11-15 18:56:05.565371,True,,,2023-11-15 23:56:05.565371,phone
82,40,False,468.46,2024-03-08 18:56:05.565380,False,12,0.0,82,completed,True,11,non-discount,213.11,2024-03-09 17:56:05.565380,True,removed,2024-03-09 18:56:05.565380,False,2024-03-09 18:56:05.565380,2024-03-18 18:56:05.565380,2024-03-10 16:56:05.565380,camera
83,21,False,394.82,2024-03-07 18:56:05.565390,True,113,0.0,83,completed,False,4,non-discount,433.12,2024-03-08 15:56:05.565390,False,added,2024-03-11 18:56:05.565390,True,,,2024-03-11 22:56:05.565390,headphones
84,16,False,337.8,2024-04-27 18:56:05.565398,True,183,0.0,84,completed,True,15,non-discount,462.25,2024-04-28 13:56:05.565398,True,removed,2024-05-03 18:56:05.565398,True,2024-04-30 18:56:05.565398,2024-05-09 18:56:05.565398,2024-05-04 14:56:05.565398,shoes
85,45,False,294.54,2023-08-09 18:56:05.565408,False,13,0.0,85,completed,True,6,discount,238.19,2023-08-10 10:56:05.565408,True,added,2023-08-18 18:56:05.565408,True,2023-08-11 18:56:05.565408,2023-08-16 18:56:05.565408,2023-08-18 22:56:05.565408,camera
86,18,True,192.42,2023-09-10 18:56:05.565417,False,23,14.59,86,abandoned,True,17,discount,245.61,2023-09-11 13:56:05.565417,False,added,,False,2023-09-12 18:56:05.565417,2023-09-16 18:56:05.565417,,shoes
87,47,False,470.67,2023-10-14 18:56:05.565426,True,99,0.0,87,abandoned,True,6,non-discount,460.04,2023-10-14 22:56:05.565426,True,added,,False,2023-10-15 18:56:05.565426,2023-10-21 18:56:05.565426,,camera
88,24,True,487.1,2023-12-26 18:56:05.565435,True,105,23.72,88,completed,False,19,discount,297.66,2023-12-27 12:56:05.565435,False,added,2023-12-28 18:56:05.565435,False,,,2023-12-29 12:56:05.565435,phone
89,26,True,149.12,2023-08-21 18:56:05.565444,True,30,18.31,89,completed,False,2,non-discount,26.09,2023-08-21 20:56:05.565444,False,added,2023-08-22 18:56:05.565444,False,,,2023-08-22 22:56:05.565444,headphones
90,25,False,159.63,2024-06-07 18:56:05.565453,False,17,0.0,90,abandoned,False,15,non-discount,457.25,2024-06-07 19:56:05.565453,False,removed,,False,,,,camera
91,45,False,247.95,2024-02-26 18:56:05.565463,False,113,0.0,91,completed,True,11,non-discount,131.63,2024-02-27 09:56:05.565463,False,removed,2024-02-28 18:56:05.565463,False,2024-03-05 18:56:05.565463,2024-03-12 18:56:05.565463,2024-02-29 11:56:05.565463,watch
92,41,False,229.73,2024-01-24 18:56:05.565472,False,62,0.0,92,completed,False,8,discount,293.04,2024-01-24 23:56:05.565472,False,removed,2024-01-31 18:56:05.565472,False,,,2024-02-01 06:56:05.565472,laptop
93,29,False,497.28,2024-05-26 18:56:05.565481,False,84,0.0,93,abandoned,True,19,non-discount,91.1,2024-05-27 14:56:05.565481,False,removed,,False,2024-05-29 18:56:05.565481,2024-06-03 18:56:05.565481,,watch
94,15,False,96.2,2024-01-20 18:56:05.565494,True,112,0.0,94,completed,False,13,non-discount,26.6,2024-01-21 05:56:05.565494,False,added,2024-01-23 18:56:05.565494,False,,,2024-01-24 16:56:05.565494,watch
95,45,False,18.86,2024-03-25 18:56:05.565504,False,86,0.0,95,completed,True,12,non-discount,162.62,2024-03-26 04:56:05.565504,False,removed,2024-03-27 18:56:05.565504,False,2024-03-28 18:56:05.565504,2024-04-06 18:56:05.565504,2024-03-28 11:56:05.565504,laptop
96,1,False,252.01,2024-02-29 18:56:05.565513,False,141,0.0,96,abandoned,True,5,discount,392.44,2024-02-29 20:56:05.565513,True,added,,False,2024-03-06 18:56:05.565513,2024-03-09 18:56:05.565513,,watch
97,25,False,97.62,2023-09-18 18:56:05.565522,False,187,0.0,97,abandoned,True,6,discount,146.02,2023-09-18 21:56:05.565522,True,removed,,False,2023-09-26 18:56:05.565522,2023-10-03 18:56:05.565522,,camera
98,7,True,189.57,2024-05-31 18:56:05.565532,False,19,34.55,98,abandoned,False,4,non-discount,117.85,2024-06-01 17:56:05.565532,True,added,,False,,,,camera
99,9,False,374.64,2023-08-21 18:56:05.565540,False,177,0.0,99,completed,False,19,discount,114.21,2023-08-22 17:56:05.565540,True,added,2023-08-28 18:56:05.565540,False,,,2023-08-29 04:56:05.565540,camera
100,24,False,363.26,2023-09-27 18:56:05.565550,True,100,0.0,100,abandoned,False,1,discount,262.44,2023-09-28 06:56:05.565550,False,removed,,False,,,,laptop
